Subject,File Path,Image Description
"DH1596_20230713","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1596_20230713/2023_07_13_dadmah_bb_dh_1596_20230713_094755_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1596_20230713","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1596_20230713/2023_07_13_dadmah_bb_dh_1596_20230713_094755_8d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1641_20221025","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1641_20221025/2022_10_25_dadmah_bb_dh_1641_20221025_153819_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1641_20221025","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1641_20221025/2022_10_25_dadmah_bb_dh_1641_20221025_153819_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1668_20221028","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1668_20221028/2022_10_28_dadmah_bb_dh_1668_20221028_140550_12d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1668_20221028","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1668_20221028/2022_10_28_dadmah_bb_dh_1668_20221028_140550_13d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1752_20221028","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1752_20221028/2022_10_28_dadmah_bb_dh_1752_20221028_151447_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1752_20221028","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1752_20221028/2022_10_28_dadmah_bb_dh_1752_20221028_151447_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1766_20221025","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1766_20221025/2022_10_25_dadmah_bb_dh_1766_20221025_164400_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1766_20221025","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1766_20221025/2022_10_25_dadmah_bb_dh_1766_20221025_164400_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
